epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.317,2.64897,3.82023,4.84429,1.6803,0,0,0,0,0,0,0,0,2.86762,29.7396,5.2169,1.4089,0.0679064,0.000654971,0.000654971
2,368.919,2.57898,3.3749,3.52068,1.67697,0.02202,0.04772,0.01826,0.0065,0.00851,0.02333,0.00584,0.00145,2.758,11.6278,4.68211,1.34529,0.0352389,0.00132074,0.00132074
3,508.71,2.39079,3.1753,3.39808,1.66351,0.5128,0.07317,0.07666,0.02285,0.4904,0.06841,0.07107,0.01637,2.74769,11.405,3.10854,1.45854,0.00256771,0.00198291,0.00198291
4,647.217,2.39199,2.98933,3.15819,1.64388,0.29876,0.07805,0.07738,0.02187,0.32681,0.08568,0.07429,0.02107,2.84168,9.14393,3.12327,1.45551,0.00198781,0.00198781,0.00198781
5,787.995,2.34307,2.9842,3.03815,1.58885,0.29687,0.19445,0.12373,0.03452,0.29656,0.2176,0.11146,0.03535,2.47583,3.84638,3.34295,1.36246,0.00197837,0.00197837,0.00197837
6,928.312,2.28429,3.1311,2.92325,1.56031,0.44542,0.06341,0.04461,0.015,0.4604,0.1052,0.06803,0.02317,2.39468,3.24309,2.89074,1.31505,0.00196627,0.00196627,0.00196627
7,1062.54,2.38844,2.94517,2.6556,1.58634,0.25534,0.09544,0.06438,0.02142,0.26314,0.10032,0.07244,0.02597,2.38171,3.8599,2.80508,1.33709,0.00195155,0.00195155,0.00195155
8,1192.9,2.23336,2.90756,2.68097,1.49439,0.72943,0.0965,0.11344,0.04246,0.72943,0.0965,0.10644,0.03784,2.75586,3.54522,2.48707,1.30507,0.00193424,0.00193424,0.00193424
9,1328.05,2.27343,2.99021,2.42313,1.48012,0.71034,0.08632,0.10048,0.04817,0.70042,0.07805,0.10127,0.03403,2.57631,3.78321,2.81042,1.32501,0.00191441,0.00191441,0.00191441
10,1460.35,2.3286,2.8223,2.43374,1.61682,0.55119,0.1422,0.13687,0.0415,0.57222,0.29834,0.17368,0.04883,3.20576,3.12997,3.46411,1.44589,0.0018921,0.0018921,0.0018921
11,1589.37,2.1723,2.81178,2.28354,1.45168,0.62056,0.15935,0.16814,0.06016,0.62398,0.16423,0.18966,0.05256,2.37173,3.15673,2.36054,1.3539,0.00186737,0.00186737,0.00186737
12,1718.88,2.13848,2.76137,2.13884,1.50887,0.64132,0.17674,0.16864,0.06177,0.64537,0.18162,0.17147,0.05487,2.48459,3.16068,2.46792,1.3122,0.00184028,0.00184028,0.00184028
13,1846.86,2.09505,2.6983,2.10418,1.40066,0.68481,0.16805,0.22385,0.06472,0.22429,0.2308,0.24358,0.06826,2.60112,2.84366,2.2148,1.37249,0.00181093,0.00181093,0.00181093
14,1972.4,2.20051,2.75989,2.1073,1.48323,0.57265,0.30221,0.21475,0.07239,0.57384,0.31248,0.2229,0.06666,2.36474,2.98752,2.31726,1.30485,0.00177937,0.00177937,0.00177937
15,2096.21,2.17697,2.74198,2.01215,1.46467,0.61084,0.23657,0.20091,0.06313,0.33395,0.21746,0.18608,0.05622,2.43509,3.00612,2.3269,1.25679,0.00174571,0.00174571,0.00174571
16,2220.92,2.04233,2.5394,1.92987,1.37697,0.74454,0.19413,0.23548,0.07944,0.82483,0.2648,0.33533,0.11549,2.49267,3.19909,2.06251,1.35291,0.00171004,0.00171004,0.00171004
17,2346.82,2.15722,2.79166,1.95405,1.38445,0.65831,0.20854,0.20488,0.06363,0.6698,0.24079,0.24719,0.084,2.57208,2.70786,2.12749,1.365,0.00167244,0.00167244,0.00167244
